word	accent_class	accent_syllable	gloss	source
bakarrik	accented	2	only	hualde_elordieta_elordieta_1994_lekeitio §2.8.1 ex.(117c) p.53, accented etymologically complex native word; penultimate accent
emeretzi	accented	3	nineteen	hualde_elordieta_elordieta_1994_lekeitio §2.8.1 ex.(117c) p.53, accented etymologically complex native word; penultimate accent
erdera	accented	2	Spanish language	hualde_elordieta_elordieta_1994_lekeitio §2.8.1 ex.(117c) p.53, accented etymologically complex native word; penultimate accent
euskera	accented	2	Basque language	hualde_elordieta_elordieta_1994_lekeitio §2.8.1 ex.(117c) p.53, accented etymologically complex native word; penultimate accent
galeper	accented	2	quail	hualde_elordieta_elordieta_1994_lekeitio §2.8.1 ex.(117c) p.53, accented etymologically complex native word (gari+eper); penultimate accent
intxaur	accented	1	walnut	hualde_elordieta_elordieta_1994_lekeitio §2.8.1 ex.(117c) p.53, accented etymologically complex native word íntxaur; penultimate accent
ixeko	accented	2	aunt	hualde_elordieta_elordieta_1994_lekeitio §2.8.1 ex.(117c) p.53, accented etymologically complex native word; penultimate accent
kaltzerdi	accented	2	sock	hualde_elordieta_elordieta_1994_lekeitio §2.8.1 ex.(117c) p.53, accented etymologically complex native word (galtza+erdi); penultimate accent
larogei	accented	2	eighty	hualde_elordieta_elordieta_1994_lekeitio §2.8.1 ex.(117c) p.53, accented etymologically complex native word (laur+hogei); penultimate accent
lengusu	accented	2	cousin	hualde_elordieta_elordieta_1994_lekeitio §2.8.1 ex.(117c) p.53, accented semi-native word (lehen+kusu); penultimate accent
okaran	accented	2	plum	hualde_elordieta_elordieta_1994_lekeitio §2.8.1 ex.(117c) p.53, accented etymologically complex native word; penultimate accent
ollasko	accented	2	chicken	hualde_elordieta_elordieta_1994_lekeitio §2.8.1 ex.(117c) p.53, accented etymologically complex native word ollásko (oilo+-sko); penultimate accent
urdai	accented	1	bacon	hualde_elordieta_elordieta_1994_lekeitio §2.8.1 ex.(117c) p.53, accented etymologically complex native word; penultimate accent
amu	accented	1	fishing hook	hualde_elordieta_elordieta_1994_lekeitio §2.8.1 ex.(117d) p.53, accented native word of unknown etymology ámu; penultimate accent
arrautza	accented	2	egg	hualde_elordieta_elordieta_1994_lekeitio §2.8.1 ex.(117d) p.53, accented native word of unknown etymology; penultimate accent
artasi	accented	2	scissors	hualde_elordieta_elordieta_1994_lekeitio §2.8.1 ex.(117d) p.53, accented native word of unknown etymology artási; penultimate accent
aseri	accented	2	fox	hualde_elordieta_elordieta_1994_lekeitio §2.8.1 ex.(117d) p.53, accented native word of unknown etymology; penultimate accent
atze	accented	1	back	hualde_elordieta_elordieta_1994_lekeitio §2.8.1 ex.(117d) p.53, accented native word of unknown etymology; penultimate accent
berakatz	accented	2	garlic	hualde_elordieta_elordieta_1994_lekeitio §2.8.1 ex.(117d) p.53, accented native word of unknown etymology; penultimate accent
beste	accented	1	other	hualde_elordieta_elordieta_1994_lekeitio §2.8.1 ex.(117d) p.53, accented native word of unknown etymology béste; penultimate accent
erastun	accented	2	ring	hualde_elordieta_elordieta_1994_lekeitio §2.8.1 ex.(117d) p.53, accented native word of unknown etymology; penultimate accent
ereñotz	accented	2	laurel	hualde_elordieta_elordieta_1994_lekeitio §2.8.1 ex.(117d) p.53, accented native word of unknown etymology; penultimate accent
lapiko	accented	2	cooking pot	hualde_elordieta_elordieta_1994_lekeitio §2.8.1 ex.(117d) p.53, accented native word of unknown etymology; penultimate accent
malluki	accented	2	strawberry	hualde_elordieta_elordieta_1994_lekeitio §2.8.1 ex.(117d) p.53, accented native word of unknown etymology; penultimate accent
orratz	accented	1	needle	hualde_elordieta_elordieta_1994_lekeitio §2.8.1 ex.(117d) p.53, accented native word of unknown etymology; penultimate accent
ugesaba	accented	3	boss	hualde_elordieta_elordieta_1994_lekeitio §2.8.1 ex.(117d) p.54, accented native word of unknown etymology ugesába; penultimate accent
mai	accented	1	table	hualde_elordieta_elordieta_1994_lekeitio §2.8 ex.(203) p.65, exceptional accented monosyllable /mai*/ (< underlying bisyllable)
nor	accented	1	who	hualde_elordieta_elordieta_1994_lekeitio §2.8 ex.(203) p.65, accented monosyllabic question word /nor*/
ser	accented	1	what	hualde_elordieta_elordieta_1994_lekeitio §2.8 ex.(203) p.65, accented monosyllabic question word /ser*/
abade	unaccented		priest	hualde_elordieta_elordieta_1994_lekeitio §2.8.1 ex.(115) p.52, phrase of only unaccented words (iru abade, abadia)
iru	unaccented		three	hualde_elordieta_elordieta_1994_lekeitio §2.8.1 ex.(115) p.52, phrase of only unaccented words (iru abade)
itturri	unaccented		fountain	hualde_elordieta_elordieta_1994_lekeitio §2.8.1 ex.(115) p.52 & §1 accent sketch, unaccented root /iturri/ (itturrize 'the fountain')
eder	unaccented		beautiful	hualde_elordieta_elordieta_1994_lekeitio §2.8.1 ex.(115) p.52, phrase of only unaccented words (itturri ederrentzako)
barri	unaccented		new	hualde_elordieta_elordieta_1994_lekeitio §2.8.1 ex.(115) p.52, phrase of only unaccented words (abade barri)
erri	unaccented		village	hualde_elordieta_elordieta_1994_lekeitio §2.8.1 ex.(115) p.52, phrase of only unaccented words (gure erriko abade)
sutondo	unaccented		fireplace	hualde_elordieta_elordieta_1994_lekeitio §2.8.1 ex.(115) p.52, phrase of only unaccented words (etxeko sutonduan)
gixon	unaccented		man	hualde_elordieta_elordieta_1994_lekeitio §1 accent sketch, unaccented root /gixon/ (gixona 'the man' vs plural gixónak)
bota	unaccented		throw (perf. part.)	hualde_elordieta_elordieta_1994_lekeitio §2.8.1 p.53, all perfective participles unaccented in Lekeitio, incl. borrowed bota
eruan	unaccented		carry (perf. part.)	hualde_elordieta_elordieta_1994_lekeitio §2.8.1 p.53, all perfective participles unaccented in Lekeitio, incl. old causative eruan
